version,nameOrgan,image,imageAlt,name,url,alt,threeDimImage,csv
1.3,Heart,organ:heart,Heart icon,Female,https://purl.humanatlas.io/ref-organ/heart-female/v1.2,"Heart, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/heart-female/v1.2/assets/VH_F_Heart.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/heart-female/v1.2/assets/crosswalk.csv
1.3,Heart,organ:heart,Heart icon,Male,https://purl.humanatlas.io/ref-organ/heart-male/v1.2,"Heart, Male",https://cdn.humanatlas.io/digital-objects/ref-organ/heart-male/v1.2/assets/VH_M_Heart.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/heart-male/v1.2/assets/crosswalk.csv
1.3,Kidney,organ:kidneys,Kidney icon,"Female, L",https://purl.humanatlas.io/ref-organ/kidney-female-left/v1.2,"Kidney, Female, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-left/v1.2/assets/VH_F_Kidney_L.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-left/v1.2/assets/crosswalk.csv
1.3,Kidney,organ:kidneys,Kidney icon,"Female, R",https://purl.humanatlas.io/ref-organ/kidney-female-right/v1.2,"Kidney, Female, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-right/v1.2/assets/VH_F_Kidney_R.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-right/v1.2/assets/crosswalk.csv
1.3,Kidney,organ:kidneys,Kidney icon,"Male, L",https://purl.humanatlas.io/ref-organ/kidney-male-left/v1.2,"Kidney, Male, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.2/assets/VH_M_Kidney_L.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.2/assets/crosswalk.csv
1.3,Kidney,organ:kidneys,Kidney icon,"Male, R",https://purl.humanatlas.io/ref-organ/kidney-male-right/v1.2,"Kidney, Male, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/VH_M_Kidney_R.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.2/assets/crosswalk.csv
1.3,Knee,organ:knee,Knee icon,"Female, L",https://purl.humanatlas.io/ref-organ/knee-female-left/v1.1,"Knee, Female, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/knee-female-left/v1.1/assets/VH_F_Knee_L.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/knee-female-left/v1.1/assets/crosswalk.csv
1.3,Knee,organ:knee,Knee icon,"Female, R",https://purl.humanatlas.io/ref-organ/knee-female-right/v1.1,"Knee, Female, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/knee-female-right/v1.1/assets/VH_F_Knee_R.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/knee-female-right/v1.1/assets/crosswalk.csv
1.3,Knee,organ:knee,Knee icon,"Male, L",https://purl.humanatlas.io/ref-organ/knee-male-left/v1.1,"Knee, Male, Left",https://cdn.humanatlas.io/digital-objects/ref-organ/knee-male-left/v1.1/assets/VH_M_Knee_L.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/knee-male-left/v1.1/assets/crosswalk.csv
1.3,Knee,organ:knee,Knee icon,"Male, R",https://purl.humanatlas.io/ref-organ/knee-male-right/v1.1,"Knee, Male, Right",https://cdn.humanatlas.io/digital-objects/ref-organ/knee-male-right/v1.1/assets/VH_M_Knee_R.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/knee-male-right/v1.1/assets/crosswalk.csv
1.3,Large Intestine,organ:large-intestine,Large Intestine icon,Female,https://purl.humanatlas.io/ref-organ/large-intestine-female/v1.2,"Large Intestine, Female",https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/SBU_F_Intestine_Large.glb,https://cdn.humanatlas.io/digital-objects/ref-organ/large-intestine-female/v1.2/assets/crosswalk.csv
